tract,DIABETES_CrudePrev,OBESITY_CrudePrev,CHD_CrudePrev,percent_uninsured,percent_no_car,access_constraint,poverty_rate,median_income,percent_no_hs,tract_str,fast_food_density,grocery_density,fast_food_ratio,no_grocery,dist_to_fast_food_km,dist_to_grocery_km,dist_scaled,no_car_scaled,raw_label,median_age,snap_rate,pct_under_18,pct_65_plus,pct_working_age
10.01,9.9,36.4,5.8,4.9,1.6430171769977595,0.3817627994649602,17.7,69398.0,5.361659079413252,1001,1.4417501809220867,1.081312635691565,1.1428571428571428,0,0.4562154314972421,0.5166940007669567,-0.5152914825505408,-0.7408676688683985,Census Tract 10.01; Lancaster County; Nebraska!!Estimate,30.3,8.16,20.64,15.17,64.19
10.02,9.4,33.3,5.8,14.8,13.752122241086589,-0.627510215347707,9.4,46944.0,11.07569721115538,1002,1.223303756468078,3.058259391170195,0.3636363636363636,0,0.5705474660087255,0.3766233557733441,-0.5834961445734853,1.0754316394093648,Census Tract 10.02; Lancaster County; Nebraska!!Estimate,28.2,3.09,8.34,10.72,80.94
10.03,8.6,34.3,4.8,10.1,11.407407407407408,-0.3786372300499749,11.4,65448.0,7.446377984621611,1003,0.7941852091954142,0.3970926045977071,1.3333333333333333,0,0.3996313451393214,0.5005151811044369,-0.5231694424689993,0.7237372814877491,Census Tract 10.03; Lancaster County; Nebraska!!Estimate,30.4,15.54,17.39,12.66,69.95
11.01,10.1,34.6,5.9,5.5,2.239583333333333,0.1982013184692073,2.4,82578.0,3.1279620853080567,1101,0.3496728160799217,0.0,4.0,1,0.9369640897530652,0.9500519832279168,-0.304276285682969,-0.651386019203997,Census Tract 11.01; Lancaster County; Nebraska!!Estimate,38.1,3.16,22.74,19.14,58.12
11.02,9.9,34.6,6.0,5.5,9.417344173441734,-0.0880332241475607,2.8,80893.0,3.387404580152672,1102,1.0281099481517677,0.6854066321011785,1.2,0,1.1598028385039685,1.1497839345584944,-0.2070207169925667,0.4252387172957267,Census Tract 11.02; Lancaster County; Nebraska!!Estimate,38.0,7.31,24.23,19.23,56.54
12.0,9.6,35.1,5.7,9.2,6.047430830039525,0.0161267762701964,5.7,81042.0,5.295471987720644,1200,2.091603736966046,0.9760817439174884,2.0,0,0.9700218342977808,1.162133510959117,-0.2010073322139829,-0.080229791085574,Census Tract 12; Lancaster County; Nebraska!!Estimate,31.4,6.97,28.89,13.41,57.7
13.01,10.9,30.7,7.5,5.2,9.892879647132956,-0.0996707982519864,4.2,87436.0,5.152741994847259,1301,0.6961101226548849,0.2320367075516283,2.0,0,1.052217817171861,1.16272366316321,-0.2007199691364152,0.4965664287455485,Census Tract 13.01; Lancaster County; Nebraska!!Estimate,50.9,1.75,19.14,38.46,42.4
13.02,11.2,33.5,7.1,3.8,1.8326693227091635,0.1696447395945681,3.7,101953.0,6.544968833481746,1302,0.78964311682923,0.5264287445528201,1.2,0,1.1751751848326106,1.0859070435463445,-0.238124320197641,-0.7124208877688956,Census Tract 13.02; Lancaster County; Nebraska!!Estimate,46.2,2.85,21.62,24.53,53.85
14.0,12.2,37.8,7.5,3.7,6.256206554121152,0.0351042326320424,16.9,61543.0,4.492617027961043,1400,1.2596473106346389,0.419882436878213,2.4,0,0.9731579361835498,0.1010852945659852,-0.7176640163639114,-0.0489145781753141,Census Tract 14; Lancaster County; Nebraska!!Estimate,41.9,16.2,20.64,21.23,58.13
15.0,10.5,36.3,6.1,4.0,5.348715259570006,0.07052175228327,12.2,67083.0,4.42842430484037,1500,0.2035432705506843,0.6106298116520529,0.2857142857142857,0,0.9261593121827616,0.7922187897003885,-0.3811300734344138,-0.1850332923030428,Census Tract 15; Lancaster County; Nebraska!!Estimate,33.5,6.91,26.05,16.38,57.57
